TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_4,TS_F_MDS_3,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_4_QC,TS_F_MDS_3_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200501,3.156,1.0,62.9189,23.154,0.977823,276.672,0.0,1.263,1.0,100.117,0.998656,2.012,0.998656,4.834,0.0114247,-9999,-9999,-5.97936294771,0.997311827957,-9999,-9999,-9999,-9999,2.017,2.29,2.972,2.438,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-5.80271,1.0,0.399271,0.16129,-9999,0.0319055,-14.2802,0.16129,-9999,0.395252,1.31397,0.122984,0.0211285,1.30605,1.31397,1.32257,0.120968,0.122984,0.104167,2.24141,2.24358,2.32939,2.42851,1.10033,0.925481,1.02162,1.10033,2.28232,2.23393,2.29438,2.35091,0.293145,0.293256,0.340871,0.371596,-9999,-9999
200502,-0.211,1.0,124.641,52.608,1.0,250.913,0.0,0.941,1.0,100.782,0.954613,1.389,1.0,3.684,1.0,0.279029687203,0.947916666667,3.29893795134,1.0,262.217152431,0.964285714286,387.388,1.0,0.135,0.435,1.194,0.541,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-6.28101,-9999,0.316898,1.0,-9999,0.0275514,-8.07868,1.0,-9999,0.271523,0.728814,0.99628,0.0155521,0.724852,0.729357,0.735493,0.999256,0.99628,0.985863,1.03347,1.03966,1.04843,1.06934,0.331952,0.314098,0.318534,0.326414,0.991535,0.97631,1.01043,1.04319,0.22719,0.233194,0.244186,0.268555,-9999,-9999
200503,1.527,1.0,224.533,118.271,1.0,260.159,0.0,1.467,1.0,100.623,0.930108,1.576,1.0,3.286,0.872984,0.245514907354,0.766801075269,46.3453907995,1.0,348.186120972,1.0,386.703,0.991263,2.179,2.123,2.188,2.008,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-3.45287,-9999,0.0018619,0.990591,0.00752179,0.0371076,0.135546,0.990591,0.547588,0.284562,0.356395,0.971774,0.0144984,0.338107,0.345632,0.356048,0.978495,0.949597,0.971774,1.29142,1.33915,1.37993,1.40946,1.05656,0.999636,1.02425,1.04889,1.92074,1.45609,2.09924,2.2626,1.15944,0.991887,1.16761,1.32997,-9999,-9999
200504,7.229,1.0,339.341,170.035,1.0,282.812,0.0,3.195,1.0,100.718,1.0,1.345,1.0,3.808,0.999306,0.273207687648,0.999305555556,94.1909939065,0.686111111111,377.532687778,1.0,387.317,1.0,7.649,7.296,6.613,6.99,0.872222,0.869444,0.869444,0.872917,-9999,-9999,-9999,-9999,-9999,-9999,-1.25795,-9999,-0.438051,0.999306,-1.76966,0.0661232,26.9714,0.998611,108.96,0.3585,-1.10377,0.975,0.0213545,-1.13419,-1.12141,-1.09845,0.95625,0.959722,0.976389,0.991275,0.906789,0.967463,0.991275,2.0169,2.02924,2.06958,2.09031,0.892268,0.892268,1.02218,1.08125,2.08248,2.10576,2.17596,2.22552,-9999,-9999
200505,10.548,1.0,433.871,213.282,1.0,305.26,0.0,3.565,1.0,100.543,1.0,2.538,1.0,3.791,0.958333,0.252641574652,0.934811827957,-9999,-9999,463.294685701,1.0,384.972,0.997984,12.492,11.827,10.931,11.388,0.611559,0.612903,0.612903,0.612903,-9999,-9999,-9999,-9999,-9999,-9999,2.33124,-9999,6.09642,0.997312,19.7088,0.245707,43.3695,0.997312,140.207,0.536337,-1.60411,0.982527,0.0258205,-1.59887,-1.56175,-1.55178,0.977823,0.983871,0.962366,1.40961,1.37051,1.39726,1.41087,2.97809,2.95032,2.96324,2.97484,1.32152,1.23068,1.29474,1.32152,2.81919,2.78602,2.87521,2.94385,-9999,-9999
200506,13.598,1.0,479.383,225.01,1.0,322.783,0.0,4.373,1.0,100.793,1.0,1.801,1.0,3.324,0.974306,0.277643798563,0.974305555556,135.553160288,1.0,488.949091979,1.0,378.085,1.0,16.507,15.447,14.136,14.874,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,3.17563,-9999,10.9396,1.0,26.5377,0.28363,43.5016,1.0,105.528,0.438282,-1.57921,0.975694,0.0251521,-1.60869,-1.58433,-1.53279,0.972222,0.974306,0.985417,2.16346,2.1216,2.16256,2.21846,3.81369,3.66333,3.71434,3.82767,1.58532,1.37948,1.5258,1.62906,3.03867,2.97598,3.07001,3.19168,-9999,-9999
200507,16.637,1.0,458.304,185.866,1.0,349.695,0.0,4.798,1.0,100.469,1.0,2.503,0.999328,1.854,0.999328,0.285033106984,0.999327956989,111.125084573,1.0,404.79364011,0.998655913978,379.589,1.0,19.124,18.384,17.469,17.996,1.0,1.0,1.0,1.0,21.386,21.811,21.867,0.998656,0.998656,0.998656,-0.607011,1.0,14.394,0.94086,41.1447,0.236341,24.328,1.0,69.541,0.330537,-2.32635,0.833333,0.0402879,-2.34629,-2.32956,-2.31873,0.839382,0.831317,0.817876,3.88319,3.77255,3.79345,3.81761,6.08166,6.08204,6.13225,6.15899,3.51888,3.47897,3.5253,3.57754,6.26182,6.25647,6.29671,6.3231,-9999,-9999
200508,14.59,1.0,378.984,162.011,1.0,333.614,0.0,3.689,1.0,100.574,1.0,2.087,1.0,2.047,0.965054,0.365639194304,0.950268817204,89.3285959429,1.0,363.80836746,1.0,365.963,1.0,14.527,14.409,14.266,14.285,1.0,1.0,1.0,1.0,23.017,22.016,22.531,0.995968,0.995968,0.995968,-3.87123,-9999,27.9971,0.999328,68.5682,0.313188,9.89383,1.0,24.2312,0.428681,-2.24833,0.998656,0.0636076,-2.27488,-2.26523,-2.24833,1.0,0.989247,0.998656,6.70572,6.66728,6.72078,6.90988,9.1474,8.92422,8.9697,9.15369,5.70678,5.60203,5.70678,6.02481,8.23563,8.2322,8.28582,8.34348,-9999,-9999
200509,13.257,1.0,270.766,132.536,1.0,321.434,0.0,3.45,1.0,100.938,1.0,1.053,1.0,2.714,0.169444,-9999,-9999,60.4986477558,1.0,274.719963495,1.0,366.187,0.545833,12.721,12.704,12.836,12.688,1.0,1.0,1.0,1.0,17.35,17.136,19.404,0.998611,0.998611,0.998611,-4.86735,-9999,23.8239,0.544444,58.3477,0.248207,-1.9846,0.543056,-4.86052,0.39912,-0.536745,0.542361,0.0494795,-0.529226,-0.522321,-0.510676,0.543056,0.545833,0.547222,5.54648,5.52017,5.53329,5.54648,6.05876,6.0494,6.05848,6.07003,5.30662,5.30089,5.30662,5.34522,5.90738,5.78877,5.83348,5.85235,-9999,-9999
200510,9.821,1.0,162.021,72.598,1.0,299.746,0.0,1.9,1.0,101.09,1.0,1.665,0.993952,2.827,0.193548,-9999,-9999,30.0363456554,0.774193548387,143.889843618,0.993951612903,-9999,-9999,9.279,9.387,9.922,9.538,1.0,1.0,1.0,1.0,22.008,19.611,20.022,1.0,1.0,1.0,-6.43187,-9999,5.70751,0.403226,-9999,0.201284,5.07618,0.403226,-9999,0.459292,1.33133,0.388441,0.0398055,1.29247,1.30251,1.35207,0.388441,0.397177,0.394489,3.43957,3.35171,3.43639,3.6,2.09152,2.0492,2.17832,2.22875,3.93293,3.40059,3.66142,4.1592,3.21243,2.63727,2.97265,3.21243,-9999,-9999
200511,5.577,1.0,81.5569,25.212,1.0,288.887,0.0,1.257,1.0,100.328,1.0,1.999,0.9125,3.402,0.0,-9999,-9999,-9999,-9999,49.9559296827,0.909027777778,-9999,-9999,4.736,5.358,6.599,5.626,0.917361,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-12.2183,-9999,1.50654,0.0,-9999,-9999,-2.73233,0.0,-9999,-9999,2.58387,0.0,-9999,2.53944,2.57274,2.61776,0.0,0.0,0.0,2.8383,2.70874,2.81672,3.01891,0.140178,0.125076,0.19211,0.35729,2.97262,2.46975,2.78545,3.07542,1.24115,1.07996,1.15161,1.24115,-9999,-9999
200512,1.991,0.846102,47.7969,14.548,1.0,272.275,0.0,1.024,0.846102,100.277,0.627688,1.118,0.605511,3.648,0.0,-9999,-9999,-9.20472753063,0.612903225806,29.1521161546,0.590053763441,-9999,-9999,-9999,1.655,2.961,1.909,-9999,0.846102,0.846102,0.846774,-9999,-9999,-9999,-9999,-9999,-9999,-9.30312,-9999,2.36762,0.0,-9999,-9999,1.16263,0.0,-9999,-9999,2.26475,0.0,-9999,2.26475,2.31235,2.38617,0.0,0.0,0.0,2.36153,2.12632,2.36318,2.51245,-0.0640902,-0.132161,0.0728601,0.135607,2.16622,1.77258,2.06289,2.25161,0.732404,0.656274,0.679928,0.732404,-9999,-9999
