TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200301,-13.071,0.0,130.128,75.375,0.652554,195.706,0.0,0.639,0.0,98.257,0.0,0.045,1.0,1.695,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.769,0.767473,-1.0229,3.0,20.2192,0.0,-9999,-9999,124.897,0.0,-9999,-9999,2.2487,0.0,-9999,1.76477,2.13033,2.4869,0.0,0.0,0.0,0.454673,0.413032,0.441234,1.04302,-1.47432,-1.67566,-1.43179,-1.35564,1.23444,0.623695,0.908728,1.23444,0.752033,0.287379,0.418679,0.752033,0.187599,1.0
200302,-13.018,0.0,193.578,126.386,0.599702,199.253,0.0,0.691,0.0,98.009,0.0,0.05,1.0,1.682,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.756,0.837798,-1.02001,3.0,20.1879,0.0,-9999,-9999,124.754,0.0,-9999,-9999,2.24364,0.0,-9999,1.76766,2.12766,2.48016,0.0,0.0,0.0,0.450685,0.408616,0.437473,1.04654,-1.47619,-1.67698,-1.41883,-1.35499,1.23957,0.626287,0.912505,1.23957,1.08453,0.447235,0.605349,1.08453,0.126813,1.0
200303,-5.355,0.0,285.454,173.346,0.534274,240.239,0.0,1.454,0.0,97.685,0.0,1.116,1.0,1.609,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.029,1.0,-1.04602,3.0,19.7458,0.0,-9999,-9999,123.486,0.0,-9999,-9999,1.97374,0.0,-9999,1.67613,1.84965,2.24809,0.0,0.0,0.0,0.985333,0.921321,0.963227,1.74502,-0.837649,-0.920668,-0.727865,-0.501516,1.6385,0.82784,1.20617,1.6385,1.36361,0.574297,0.76212,1.36361,0.220839,1.0
200304,3.623,0.570833,381.165,234.844,0.611806,271.786,0.0,4.652,0.527778,98.086,0.179861,1.044,0.43125,1.893,0.179861,-9999,-9999,-9999,-9999,-9999,-9999,369.412,0.570833,1.355,0.319444,-1.28465,3.0,21.0013,0.0,-9999,-9999,116.022,0.0,-9999,-9999,1.79496,0.0,-9999,1.49718,1.7549,2.09608,0.0,0.0,0.0,1.71704,1.63552,1.69375,2.58032,0.0498451,0.016669,0.151536,0.4621,2.07197,1.04685,1.52527,2.07197,1.62137,0.722558,0.938818,1.62137,0.527709,1.0
200305,10.777,0.644489,453.18,275.485,0.675403,305.98,0.0,6.704,0.644489,97.995,0.34207,1.458,0.34543,1.708,0.34207,-9999,-9999,-9999,-9999,-9999,-9999,374.127,0.643145,9.467,0.352823,-0.789039,3.0,24.135,0.331989,38.5697,0.559428,113.646,0.332661,181.616,0.787268,2.07617,0.260753,0.0734629,1.58038,1.94966,2.2215,0.275538,0.269489,0.252016,2.53598,2.38399,2.49728,3.31208,0.726039,0.528657,0.781455,1.0624,2.50132,1.93183,2.16713,2.71619,1.87843,1.26833,1.45325,1.87536,1.8289,1.0
200306,16.318,0.959722,485.411,296.717,0.972222,350.235,0.0,6.742,0.959722,97.802,0.813194,1.242,0.796528,1.339,0.813194,0.297629990964,0.783333333333,213.658720252,0.783333333333,617.762990314,0.783333333333,368.04,0.965278,13.492,0.965972,-0.293313,3.0,66.7496,0.965278,106.671,0.80996,57.4979,0.965972,91.8861,0.762816,-1.68719,0.866667,0.109289,-2.27262,-1.7035,-1.32427,0.895139,0.867361,0.795833,8.01521,7.42497,8.29717,9.1241,10.0498,9.6976,10.0498,10.4999,4.28788,4.31629,5.10596,5.7677,7.89926,7.70056,7.8451,8.00644,3.93414,1.0
200307,18.537,0.836694,469.944,304.274,0.867608,367.361,0.0,6.245,0.836694,97.829,0.665323,0.74,0.34207,1.324,0.665323,0.333022313003,0.592069892473,213.000569538,0.649193548387,611.21140155,0.649193548387,363.059,0.859543,16.431,0.943548,0.340684,3.0,132.552,0.852823,214.043,1.14218,-3.46202,0.854167,-5.59041,0.636183,0.198861,0.755376,0.202816,-1.42619,0.129768,1.57649,0.774866,0.747984,0.708333,20.9652,18.3443,22.1996,23.8124,21.3316,19.8314,22.0664,22.3362,8.78946,7.70994,9.14204,9.84932,14.215,13.5238,14.284,14.5434,6.53409,1.0
200308,20.243,0.866935,410.725,255.203,0.879032,359.852,0.0,7.425,0.866935,98.23,0.752016,0.696,0.967742,1.286,0.752016,0.360390553559,0.668682795699,173.941250981,0.751344086022,510.030880296,0.751344086022,368.642,0.868952,17.913,0.90793,1.96038,3.0,74.1641,0.866263,130.601,0.785279,20.7646,0.866263,36.566,0.83214,0.389131,0.770833,0.137165,-0.58258,0.401822,1.39687,0.856855,0.767473,0.729167,15.8982,14.3946,16.8672,17.9885,15.2033,14.9672,16.4172,16.5132,9.15756,8.76573,9.41447,10.2975,11.9927,11.3427,11.9299,12.3325,8.70933,1.0
200309,14.599,0.915278,323.773,181.065,0.927778,332.366,0.0,6.149,0.915278,97.891,0.696528,1.826,0.696528,1.706,0.696528,-9999,-9999,120.460250335,0.6125,383.744886438,0.6125,364.209,0.915278,14.694,0.915278,-0.624466,3.0,37.7946,0.881944,70.3656,0.502767,25.6559,0.881944,47.7658,0.683749,0.206127,0.81875,0.0736104,0.0363529,0.118237,0.206127,0.8375,0.79375,0.81875,6.02978,5.89626,5.97101,6.07029,5.89776,5.83188,5.86951,5.88864,5.28347,4.86649,5.3931,5.66925,5.5092,5.41057,5.62078,5.82484,5.12541,1.0
200310,7.224,0.873656,228.069,118.735,0.888441,293.652,0.0,3.896,0.873656,97.747,0.563172,0.666,0.586022,1.641,0.586022,-9999,-9999,-9999,-9999,-9999,-9999,368.63,0.865591,8.703,0.873656,-2.72108,3.0,11.9574,0.869624,25.5141,0.305334,23.6019,0.869624,50.3606,0.547556,1.63459,0.785618,0.0396145,1.52843,1.62236,1.71209,0.793011,0.782258,0.772849,2.66883,2.51566,2.68271,2.81384,0.99,1.0394,1.09337,1.12027,2.68634,1.97221,2.62621,3.38405,1.35224,1.04582,1.36323,1.57889,1.6444,1.0
200311,-1.338,0.647222,149.54,63.233,0.68125,253.525,0.0,1.157,0.647222,97.882,0.0,0.771,0.122222,1.831,0.122222,-9999,-9999,-9999,-9999,-9999,-9999,379.274,0.154167,3.292,0.647222,-3.7397,3.0,5.26118,0.153472,11.226,0.270863,13.2923,0.153472,28.3625,0.26664,0.285735,0.0361111,0.0661574,0.153118,0.278785,0.320575,0.0576389,0.0333333,0.0194444,0.495932,0.45319,0.510105,1.31987,0.241798,0.242594,0.331168,0.941677,1.89311,1.22149,1.76425,2.72795,1.07767,0.72534,1.06097,1.28852,0.568925,1.0
200312,-5.944,0.734543,113.08,48.587,0.765457,240.307,0.0,0.878,0.734543,97.758,0.232527,0.333,0.575269,1.492,0.25,-9999,-9999,-9999,-9999,-9999,-9999,374.477,0.728495,1.924,0.497984,-2.5471,3.0,1.72324,0.459677,-9999,0.0771934,5.63557,0.461694,-9999,0.156034,-0.478841,0.334005,-9999,-0.490571,-0.478841,-0.286375,0.22379,0.334005,0.448925,0.0122189,0.0123655,0.019641,1.06849,0.544624,0.339595,0.491495,0.579434,1.33512,0.763559,1.2256,2.15309,0.915269,0.646019,0.899108,1.13717,0.434421,1.0
